vehicle_type,vehicleperstation,starttime,endtime,range,capacity,cruisespeed,verticalspeed,boardingtime,deboardingtime,turnaroundtime,maximumCharge,energyConsumptionHorizontal,energyConsumptionVertical
Volocity,3,0:00:00,24:00:00,35000,2,90,10,60,60,60,0,0,0
Joby S4,3,0:00:00,24:00:00,241402,5,240,10,60,60,120,0,0,0
